 CPU usage           ,CPU temperature     ,GPU1 usage          ,GPU1 temperature    ,GPU2 usage          ,GPU2 temperature    ,RAM usage           
 4.492               ,39.000              ,2.000               ,40.000              ,1.000               ,36.000              ,7026.000            
 3.320               ,39.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7026.000            
 4.102               ,39.000              ,8.000               ,40.000              ,5.000               ,36.000              ,7025.000            
 7.031               ,40.000              ,18.000              ,40.000              ,4.000               ,36.000              ,7023.000            
 10.352              ,40.000              ,2.000               ,40.000              ,4.000               ,36.000              ,7023.000            
 6.055               ,40.000              ,6.000               ,40.000              ,3.000               ,36.000              ,7023.000            
 5.273               ,41.000              ,2.000               ,40.000              ,1.000               ,36.000              ,7023.000            
 4.102               ,40.000              ,7.000               ,40.000              ,3.000               ,36.000              ,7023.000            
 5.273               ,39.000              ,25.000              ,40.000              ,9.000               ,36.000              ,7023.000            
 5.469               ,40.000              ,7.000               ,40.000              ,4.000               ,36.000              ,7022.000            
 10.742              ,41.000              ,35.000              ,40.000              ,17.000              ,36.000              ,7024.000            
 7.422               ,40.000              ,8.000               ,40.000              ,5.000               ,36.000              ,7023.000            
 5.859               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7024.000            
 2.539               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7020.000            
 6.445               ,40.000              ,10.000              ,40.000              ,5.000               ,36.000              ,7020.000            
 8.398               ,39.000              ,12.000              ,40.000              ,6.000               ,36.000              ,7030.000            
 5.664               ,40.000              ,9.000               ,40.000              ,5.000               ,36.000              ,7030.000            
 5.469               ,42.000              ,10.000              ,40.000              ,7.000               ,36.000              ,7030.000            
 3.906               ,39.000              ,0.000               ,40.000              ,3.000               ,36.000              ,7029.000            
 5.859               ,39.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7028.000            
 4.492               ,42.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7028.000            
 6.055               ,39.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7025.000            
 6.250               ,40.000              ,0.000               ,40.000              ,1.000               ,36.000              ,7029.000            
 7.227               ,40.000              ,5.000               ,40.000              ,1.000               ,36.000              ,7024.000            
 4.688               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7030.000            
 3.711               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7026.000            
 4.102               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7024.000            
 3.906               ,38.000              ,0.000               ,40.000              ,1.000               ,36.000              ,7024.000            
 4.688               ,38.000              ,5.000               ,40.000              ,3.000               ,36.000              ,7024.000            
 4.492               ,40.000              ,7.000               ,40.000              ,3.000               ,36.000              ,7024.000            
 11.523              ,39.000              ,9.000               ,40.000              ,8.000               ,36.000              ,7026.000            
 7.617               ,39.000              ,6.000               ,40.000              ,1.000               ,36.000              ,7032.000            
 5.664               ,40.000              ,8.000               ,40.000              ,1.000               ,36.000              ,7031.000            
 7.422               ,40.000              ,5.000               ,40.000              ,6.000               ,36.000              ,7031.000            
 5.664               ,38.000              ,2.000               ,40.000              ,0.000               ,36.000              ,7032.000            
 5.078               ,41.000              ,9.000               ,40.000              ,5.000               ,36.000              ,7030.000            
 8.008               ,39.000              ,2.000               ,40.000              ,0.000               ,36.000              ,7033.000            
 4.102               ,39.000              ,2.000               ,40.000              ,0.000               ,36.000              ,7029.000            
 3.320               ,39.000              ,3.000               ,40.000              ,0.000               ,36.000              ,7028.000            
 2.539               ,39.000              ,2.000               ,40.000              ,0.000               ,36.000              ,7028.000            
 3.320               ,38.000              ,2.000               ,40.000              ,0.000               ,36.000              ,7028.000            
 5.078               ,38.000              ,1.000               ,40.000              ,0.000               ,36.000              ,7031.000            
 3.516               ,38.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7029.000            
 2.148               ,38.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7028.000            
 3.906               ,37.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7028.000            
 3.516               ,38.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7027.000            
 3.516               ,38.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7027.000            
 3.711               ,38.000              ,0.000               ,40.000              ,7.000               ,36.000              ,7026.000            
 6.055               ,38.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7037.000            
 3.516               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7029.000            
 2.734               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7029.000            
 6.055               ,38.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7029.000            
 4.883               ,39.000              ,7.000               ,40.000              ,4.000               ,36.000              ,7029.000            
 5.078               ,39.000              ,0.000               ,40.000              ,1.000               ,36.000              ,7029.000            
 8.008               ,38.000              ,13.000              ,40.000              ,1.000               ,36.000              ,7029.000            
 5.859               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7033.000            
 4.297               ,38.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7029.000            
 2.539               ,38.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7029.000            
 2.930               ,38.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7029.000            
 6.836               ,38.000              ,13.000              ,40.000              ,1.000               ,35.000              ,7031.000            
 7.422               ,38.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7039.000            
 8.203               ,40.000              ,21.000              ,40.000              ,7.000               ,36.000              ,7038.000            
 9.180               ,42.000              ,13.000              ,40.000              ,8.000               ,36.000              ,7038.000            
 9.570               ,40.000              ,5.000               ,40.000              ,7.000               ,36.000              ,7039.000            
 4.492               ,39.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7038.000            
 6.836               ,41.000              ,0.000               ,40.000              ,1.000               ,36.000              ,7038.000            
 9.766               ,40.000              ,8.000               ,40.000              ,5.000               ,36.000              ,7045.000            
 6.055               ,40.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7037.000            
 4.688               ,39.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7037.000            
 8.984               ,41.000              ,11.000              ,40.000              ,11.000              ,36.000              ,7037.000            
 4.688               ,40.000              ,2.000               ,40.000              ,1.000               ,36.000              ,7041.000            
 7.422               ,39.000              ,8.000               ,40.000              ,1.000               ,36.000              ,7044.000            
 5.664               ,39.000              ,15.000              ,40.000              ,7.000               ,36.000              ,7044.000            
 5.859               ,40.000              ,2.000               ,40.000              ,2.000               ,36.000              ,7038.000            
 3.516               ,40.000              ,2.000               ,40.000              ,1.000               ,36.000              ,7037.000            
 4.297               ,38.000              ,2.000               ,40.000              ,2.000               ,36.000              ,7037.000            
 3.906               ,41.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7037.000            
 7.422               ,39.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7042.000            
 7.031               ,40.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7038.000            
 7.422               ,39.000              ,0.000               ,40.000              ,1.000               ,36.000              ,7041.000            
 5.469               ,40.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7038.000            
 6.250               ,40.000              ,8.000               ,40.000              ,0.000               ,35.000              ,7038.000            
 8.008               ,40.000              ,1.000               ,40.000              ,1.000               ,35.000              ,7045.000            
 6.641               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7043.000            
 6.445               ,41.000              ,11.000              ,40.000              ,4.000               ,36.000              ,7045.000            
 5.273               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7046.000            
 4.883               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7042.000            
 3.125               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7042.000            
 3.320               ,38.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7039.000            
 4.102               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7039.000            
 3.516               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7037.000            
 3.320               ,38.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7032.000            
 4.688               ,39.000              ,5.000               ,40.000              ,0.000               ,36.000              ,7032.000            
 3.906               ,38.000              ,10.000              ,40.000              ,7.000               ,36.000              ,7032.000            
 6.250               ,38.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7032.000            
 6.836               ,41.000              ,0.000               ,40.000              ,3.000               ,35.000              ,7032.000            
 4.492               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7035.000            
 6.641               ,39.000              ,5.000               ,40.000              ,0.000               ,36.000              ,7035.000            
 3.516               ,38.000              ,0.000               ,40.000              ,3.000               ,36.000              ,7035.000            
 6.445               ,40.000              ,5.000               ,40.000              ,9.000               ,36.000              ,7033.000            
 5.664               ,39.000              ,7.000               ,40.000              ,7.000               ,36.000              ,7033.000            
 5.273               ,38.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7034.000            
 8.984               ,41.000              ,12.000              ,40.000              ,4.000               ,36.000              ,7034.000            
 5.469               ,39.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7037.000            
 7.031               ,40.000              ,6.000               ,40.000              ,3.000               ,36.000              ,7033.000            
 5.078               ,40.000              ,6.000               ,40.000              ,3.000               ,36.000              ,7033.000            
 4.297               ,40.000              ,12.000              ,40.000              ,1.000               ,36.000              ,7038.000            
 5.273               ,40.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7040.000            
 4.297               ,40.000              ,2.000               ,40.000              ,3.000               ,35.000              ,7036.000            
 5.469               ,38.000              ,6.000               ,40.000              ,5.000               ,36.000              ,7035.000            
 4.102               ,39.000              ,1.000               ,40.000              ,0.000               ,36.000              ,7035.000            
 3.320               ,39.000              ,1.000               ,40.000              ,1.000               ,35.000              ,7033.000            
 6.641               ,39.000              ,7.000               ,40.000              ,0.000               ,36.000              ,7034.000            
 10.742              ,40.000              ,8.000               ,40.000              ,5.000               ,36.000              ,7034.000            
 7.422               ,40.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7033.000            
 6.055               ,40.000              ,7.000               ,40.000              ,0.000               ,36.000              ,7033.000            
 6.055               ,40.000              ,7.000               ,40.000              ,1.000               ,36.000              ,7035.000            
 5.078               ,39.000              ,1.000               ,40.000              ,1.000               ,35.000              ,7034.000            
 3.711               ,38.000              ,4.000               ,40.000              ,0.000               ,36.000              ,7030.000            
 3.711               ,39.000              ,5.000               ,40.000              ,0.000               ,36.000              ,7029.000            
 5.469               ,39.000              ,23.000              ,40.000              ,11.000              ,36.000              ,7028.000            
 5.859               ,39.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7027.000            
 6.055               ,43.000              ,1.000               ,40.000              ,5.000               ,36.000              ,7027.000            
 5.273               ,40.000              ,2.000               ,40.000              ,0.000               ,35.000              ,7029.000            
 7.813               ,41.000              ,5.000               ,40.000              ,3.000               ,36.000              ,7035.000            
 6.641               ,43.000              ,13.000              ,40.000              ,21.000              ,36.000              ,7031.000            
 8.789               ,40.000              ,2.000               ,40.000              ,1.000               ,36.000              ,7032.000            
 5.859               ,40.000              ,6.000               ,40.000              ,3.000               ,36.000              ,7033.000            
 7.813               ,40.000              ,12.000              ,40.000              ,0.000               ,36.000              ,7031.000            
 5.273               ,40.000              ,2.000               ,40.000              ,0.000               ,36.000              ,7032.000            
 14.063              ,42.000              ,28.000              ,40.000              ,18.000              ,35.000              ,7031.000            
 7.422               ,40.000              ,12.000              ,40.000              ,6.000               ,36.000              ,7030.000            
 7.227               ,41.000              ,14.000              ,40.000              ,10.000              ,35.000              ,7031.000            
 5.664               ,40.000              ,1.000               ,40.000              ,0.000               ,35.000              ,7034.000            
 3.906               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7030.000            
 4.688               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7030.000            
 3.516               ,39.000              ,0.000               ,40.000              ,0.000               ,35.000              ,7030.000            
 2.539               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7030.000            
 8.203               ,39.000              ,6.000               ,40.000              ,20.000              ,36.000              ,7031.000            
 8.594               ,41.000              ,1.000               ,40.000              ,5.000               ,36.000              ,7031.000            
 4.883               ,39.000              ,5.000               ,40.000              ,0.000               ,35.000              ,7031.000            
 7.227               ,41.000              ,7.000               ,40.000              ,7.000               ,36.000              ,7031.000            
 6.250               ,40.000              ,7.000               ,40.000              ,4.000               ,36.000              ,7030.000            
 8.398               ,41.000              ,16.000              ,40.000              ,8.000               ,35.000              ,7035.000            
 7.813               ,44.000              ,2.000               ,40.000              ,3.000               ,35.000              ,7035.000            
 11.719              ,40.000              ,9.000               ,40.000              ,4.000               ,35.000              ,7032.000            
 8.203               ,40.000              ,11.000              ,40.000              ,9.000               ,36.000              ,7033.000            
 5.273               ,40.000              ,1.000               ,40.000              ,1.000               ,35.000              ,7032.000            
 4.883               ,40.000              ,9.000               ,40.000              ,7.000               ,36.000              ,7032.000            
 4.102               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7032.000            
 3.125               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7027.000            
 2.930               ,38.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7027.000            
 4.102               ,39.000              ,0.000               ,40.000              ,0.000               ,35.000              ,7027.000            
 2.539               ,39.000              ,0.000               ,40.000              ,0.000               ,35.000              ,7025.000            
 2.930               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7024.000            
 4.102               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7022.000            
 4.492               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7020.000            
 4.297               ,38.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7020.000            
 2.930               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7020.000            
 2.930               ,38.000              ,0.000               ,40.000              ,0.000               ,35.000              ,7020.000            
 4.102               ,38.000              ,1.000               ,40.000              ,0.000               ,35.000              ,7020.000            
 4.492               ,38.000              ,5.000               ,40.000              ,0.000               ,36.000              ,7020.000            
 5.664               ,38.000              ,1.000               ,40.000              ,1.000               ,35.000              ,7020.000            
 5.078               ,39.000              ,9.000               ,40.000              ,6.000               ,35.000              ,7023.000            
 5.078               ,39.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7023.000            
 3.516               ,38.000              ,2.000               ,40.000              ,2.000               ,36.000              ,7022.000            
 3.516               ,39.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7022.000            
 2.539               ,39.000              ,0.000               ,40.000              ,1.000               ,36.000              ,7022.000            
 3.320               ,38.000              ,0.000               ,40.000              ,1.000               ,36.000              ,7021.000            
 5.664               ,39.000              ,8.000               ,40.000              ,7.000               ,36.000              ,7022.000            
 4.492               ,40.000              ,11.000              ,40.000              ,5.000               ,36.000              ,7032.000            
 6.250               ,42.000              ,4.000               ,40.000              ,0.000               ,36.000              ,7032.000            
 7.813               ,39.000              ,5.000               ,40.000              ,0.000               ,36.000              ,7026.000            
 5.859               ,39.000              ,1.000               ,40.000              ,1.000               ,35.000              ,7030.000            
 6.250               ,39.000              ,0.000               ,40.000              ,1.000               ,35.000              ,7031.000            
 7.617               ,40.000              ,6.000               ,40.000              ,3.000               ,36.000              ,7032.000            
 7.227               ,42.000              ,1.000               ,40.000              ,4.000               ,35.000              ,7033.000            
 7.031               ,41.000              ,9.000               ,40.000              ,5.000               ,36.000              ,7034.000            
 5.469               ,40.000              ,11.000              ,40.000              ,3.000               ,36.000              ,7034.000            
 6.055               ,41.000              ,1.000               ,40.000              ,2.000               ,36.000              ,7033.000            
 9.375               ,39.000              ,1.000               ,40.000              ,0.000               ,36.000              ,7033.000            
 5.469               ,39.000              ,1.000               ,40.000              ,0.000               ,36.000              ,7033.000            
 6.250               ,39.000              ,1.000               ,40.000              ,0.000               ,35.000              ,7031.000            
 4.883               ,39.000              ,5.000               ,40.000              ,0.000               ,35.000              ,7030.000            
 4.102               ,39.000              ,2.000               ,40.000              ,0.000               ,36.000              ,7030.000            
 4.297               ,39.000              ,2.000               ,40.000              ,1.000               ,36.000              ,7030.000            
 3.711               ,39.000              ,1.000               ,40.000              ,0.000               ,35.000              ,7028.000            
 9.570               ,39.000              ,1.000               ,40.000              ,0.000               ,36.000              ,7027.000            
 8.008               ,38.000              ,1.000               ,40.000              ,0.000               ,35.000              ,7027.000            
 7.031               ,40.000              ,13.000              ,40.000              ,16.000              ,35.000              ,7026.000            
 8.789               ,39.000              ,0.000               ,40.000              ,3.000               ,36.000              ,7026.000            
 3.125               ,40.000              ,0.000               ,40.000              ,1.000               ,35.000              ,7023.000            
 7.617               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7023.000            
 6.445               ,39.000              ,2.000               ,40.000              ,0.000               ,35.000              ,7023.000            
 4.297               ,39.000              ,1.000               ,40.000              ,0.000               ,35.000              ,7023.000            
 8.594               ,39.000              ,0.000               ,40.000              ,0.000               ,35.000              ,7023.000            
